"abbreviation","title"
"adj. c.","adjetivo cantidad"
"adj. f.","adjetivo femenino"
"adj. indef.","adjetivo indefinido"
"adj. inv.","adjetivo invariable"
"adj. m.","adjetivo masculino"
"adj. num.","adjetivo numeral"
"adv. c.","adverbio cantidad"
"adv. l.","adverbio lugar"
"adv. m.","adverbio modo"
"adv. t","adverbio tiempo"
"part.","participio"
"per. vl.","perífrasis verbal"
"pron. f.","pronombre  femenino"
"pron. indef.","pronombre  indefinido"
"pron. m.","pronombre  masculino"
"pron. pers.","pronombre  personal"
"pron. neutro","pronombre neutro"
"s. f.","sustantivo femenino"
"s. m.","sustantivo masculino"
"v. prnl.","verbo pronominal"
"v. tr.","verbo transitivo"
